id,name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
1,Ancient Forest,古代樹の森,Forêt ancienne,Foresta antica,Uralter Wald,Bosque Primigenio,Floresta Ancestral,Starodrzew,Древний лес,고대수의 숲,古代樹森林,الغابة العتيقة
2,Wildspire Waste,大蟻塚の荒地,Désert des termites,Guglie selvagge,Wildturm-Ödnis,Yermo de Agujas,Ermo Selvagulha,Pustkowie Dzikowieży,Дикогорье,개밋둑의 황야,大蟻塚荒地,أنقاض الهياكل الشرسة
3,Coral Highlands,陸珊瑚の台地,Plateau de corail,Altipiani corallini,Korallenhochland,Altiplanos Coralinos,Planaltos Coralinos,Pogórze Koralowe,Коралловое нагорье,육산호의 대지,陸珊瑚台地,المرتفعات المرجانية
4,Rotten Vale,瘴気の谷,Val putride,Valle putrefatta,Tal der Verwesung,Valle Putrefacto,Vale Putrefato,Gnijąca Dolina,Гнилая долина,독기의 골짜기,瘴氣之谷,الوادي المتعفن
5,Elder's Recess,龍結晶の地,Terre des anciens,Landa dei cristalli,Heimat der Ältesten,Lecho de los Ancianos,Fenda do Ancião,Zacisze Starszych,Убежище Древнего,용결정의 땅,龍結晶之地,مخبأ التنين المعمِّر
6,Everstream,地脈回廊,Rivière éternelle,Torrente eterno,Ewiger Strom,Torrente Eterno,Rio Perene,Wieczny Strumień,Вечноречье,지맥 회랑,地脈迴廊,التيار الأمدي
7,Great Ravine,大峡谷,Grand ravin,Gran dirupo,Große Schlucht,Gran Desfiladero,Grande Desfiladeiro,Wielki Wąwóz,Великое ущелье,대협곡,大峽谷,الوادي الكبير
8,Arena,闘技場,Arène,Arena,Arena,Arena,Arena,Arena,Арена,격투장,鬥技場,الحلبة
9,Confluence of Fates,龍脈の収束地,Croisée des destins,Caverna del fato,Vereinigung der Schicksale,Confluencia de destinos,Confluência de Destinos,Konfluencja Losów,Слияние судеб,지맥이 모이는 땅,地脈收束地,ملتقى الأقدار
10,Caverns of El Dorado,,,,,,,,,,,
11,Special Arena,,,,,,,,,,,
12,Hoarfrost Reach,,,,,,,,,,,
