name_en,weapon_type,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Defender Great Sword I,great-sword,防衛隊炎刃型大剣Ⅰ,Grande épée du Défenseur,Spadone del difensore I,Verteidiger-Großschwert I,Espadón de defensor I,Espadão Defensor I,Miecz dwur. Obrońcy I,Двуручный меч защитника 1,수비대 염인형 대검Ⅰ,防衛隊炎刃型大劍Ⅰ,سيف المدافع العظيم I
Defender Great Sword II,great-sword,防衛隊炎刃型大剣Ⅱ,Grande épée du Défenseur II,Spadone del difensore II,Verteidiger-Großschwert II,Espadón de defensor II,Espadão Defensor II,Miecz dwur. Obrońcy II,Двуручный меч защитника 2,수비대 염인형 대검Ⅱ,防衛隊炎刃型大劍Ⅱ,سيف المدافع العظيم II
Defender Great Sword III,great-sword,防衛隊炎刃型大剣Ⅲ,Grande épée du Défenseur III,Spadone del difensore III,Verteidiger-Großschwert III,Espadón de defensor III,Espadão Defensor III,Miecz dwur. Obrońcy III,Двуручный меч защитника 3,수비대 염인형 대검Ⅲ,防衛隊炎刃型大劍Ⅲ,سيف المدافع العظيم III
Defender Great Sword IV,great-sword,防衛隊炎刃型大剣Ⅳ,Grande épée du Défenseur IV,Spadone del difensore IV,Verteidiger-Großschwert IV,Espadón de defensor IV,Espadão Defensor IV,Miecz dwur. Obrońcy IV,Двуручный меч защитника 4,수비대 염인형 대검Ⅳ,防衛隊炎刃型大劍Ⅳ,سيف المدافع العظيم IV
Defender Great Sword V,great-sword,防衛隊炎刃型大剣Ⅴ,Grande épée du Défenseur V,Spadone del difensore V,Verteidiger-Großschwert V,Espadón de defensor V,Espadão Defensor V,Miecz dwur. Obrońcy V,Двуручный меч защитника 5,수비대 염인형 대검Ⅴ,防衛隊炎刃型大劍Ⅴ,سيف المدافع العظيم V
Buster Sword I,great-sword,バスターソードⅠ,Espadon,Spada devastatrice I,Schmetterschwert I,Espada Cazadora I,Espada Destruidora I,Miecz pogromcy I,Подручный меч 1,버스터소드Ⅰ,巨劍Ⅰ,السيف العاصف I
Buster Sword II,great-sword,バスターソードⅡ,Espadon II,Spada devastatrice II,Schmetterschwert II,Espada Cazadora II,Espada Destruidora II,Miecz pogromcy II,Подручный меч 2,버스터소드Ⅱ,巨劍Ⅱ,السيف العاصف II
Buster Sword III,great-sword,バスターソードⅢ,Espadon III,Spada devastatrice III,Schmetterschwert III,Espada Cazadora III,Espada Destruidora III,Miecz pogromcy III,Подручный меч 3,버스터소드Ⅲ,巨劍Ⅲ,السيف العاصف III
Buster Blade I,great-sword,バスターブレイドⅠ,Claymore,Lama devastatrice I,Schmetterklinge I,Hoja Cazadora I,Lâmina Destruidora I,Ostrze pogromcy I,Подручный клинок 1,버스터블레이드Ⅰ,巨刃劍Ⅰ,النصل العاصف I
Buster Blade II,great-sword,バスターブレイドⅡ,Claymore II,Lama devastatrice II,Schmetterklinge II,Hoja Cazadora II,Lâmina Destruidora II,Ostrze pogromcy II,Подручный клинок 2,버스터블레이드Ⅱ,巨刃劍Ⅱ,النصل العاصف II
